user_uuid,question_code,question_text,question_number,category_id,category_name,option_id,option_select,option_code,option_text,block_number,weight,created_at
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_4,Which meet-cute(s) would you totally fall for? (Pick all that make your heart do the thing 💘),,1,Love,,OTHER,1_4_OTHER,Write your own plot twist.,1,1.15,2025-08-01T16:11:20.277948
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_4,Which meet-cute(s) would you totally fall for? (Pick all that make your heart do the thing 💘),,1,Love,,D,1_4_D,D. Assigned to sit next to each other in class,1,1.23,2025-08-01T16:11:20.277948
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_4,Which meet-cute(s) would you totally fall for? (Pick all that make your heart do the thing 💘),,1,Love,,C,1_4_C,C. Wrong text that turns into a real convo,1,1.25,2025-08-01T16:11:20.277948
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_4,Which meet-cute(s) would you totally fall for? (Pick all that make your heart do the thing 💘),,1,Love,,B,1_4_B,"B. Bumping into each other at a concert, literally",1,0.83,2025-08-01T16:11:20.277948
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_6,What do you imagine when you think about your first love?,,1,Love,,C,1_6_C,C. A sign that I’m lovable—something to show others I’m not left out.,1,0.54,2025-08-23T16:11:20.278160
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_6,What do you imagine when you think about your first love?,,1,Love,,B,1_6_B,B. Someone who sees me. We both grow.,1,0.58,2025-08-23T16:11:20.278160
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_7,Which line from a rom-com would you want someone to say to you?,,1,Love,,D,1_7_D,"D. “I love you, just as you are.”",1,0.78,2025-08-17T16:11:20.278196
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_7,Which line from a rom-com would you want someone to say to you?,,1,Love,,OTHER,1_7_OTHER,Other,1,1.38,2025-08-17T16:11:20.278196
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_8,How do you act when your crush is nearby?,,1,Love,,A,1_8_A,"A. I avoid eye contact, freeze up, or pretend I don’t notice them.",1,1.39,2025-08-03T16:11:20.278227
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_8,How do you act when your crush is nearby?,,1,Love,,C,1_8_C,C. I get louder or funnier without even realizing it.,1,0.81,2025-08-03T16:11:20.278227
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_8,How do you act when your crush is nearby?,,1,Love,,D,1_8_D,D. I over analyze everything I say—or don’t say anything at all.,1,1.46,2025-08-03T16:11:20.278227
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_8,How do you act when your crush is nearby?,,1,Love,,OTHER,1_8_OTHER,My version:,1,0.52,2025-08-03T16:11:20.278227
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_15,"If someone told you 'I love you' way too early, what would you do?",,1,Love,,B,1_15_B,B. “Whoa. Let’s slow this whole thing way down.”,1,1.24,2025-08-01T16:11:20.278251
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_9,How do you show someone you like them? [playlist:Love],,1,Love,,OTHER,1_9_OTHER,Other,2,0.89,2025-08-07T16:11:20.278265
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_9,How do you show someone you like them? [playlist:Love],,1,Love,,B,1_9_B,"B. I ask stuff, get details, and try to show up when it hits different.",2,1.01,2025-08-07T16:11:20.278265
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_10,What do you wish someone you like understood about you?,,1,Love,,A,1_10_A,"A. Feelings? Yeah, they’re in there. Just behind six layers of nope.",2,0.63,2025-08-22T16:11:20.278288
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_12,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters. When your crush likes someone else",,1,Love,,E,1_12_E,E. I healed via carbs. No notes.,2,0.71,2025-08-12T16:11:20.278366
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_12,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters. When your crush likes someone else",,1,Love,,OTHER,1_12_OTHER,Other,2,0.81,2025-08-12T16:11:20.278366
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_14,"If someone likes you but you don’t feel the same, what do you do?",,1,Love,,OTHER,1_14_OTHER,Other,2,0.65,2025-08-29T16:11:20.278391
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_14,"If someone likes you but you don’t feel the same, what do you do?",,1,Love,,C,1_14_C,C. I joke through it so no one cries. Especially me.,2,0.78,2025-08-29T16:11:20.278391
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_14,"If someone likes you but you don’t feel the same, what do you do?",,1,Love,,A,1_14_A,A. I fade like Wi-Fi in a tunnel.,2,0.92,2025-08-29T16:11:20.278391
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_23,"If your love life was a playlist, what’s the title?",,1,Love,,C,1_23_C,C. “This One Feels Real”,2,1.41,2025-08-21T16:11:20.278410
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_3,Real safety isn’t just about avoiding harm—it’s about feeling free to be yourself. You deserve people who don’t just like you—but protect your peace. What makes you feel safe with someone?,,1,Love,,B,1_3_B,B. I can say real stuff—and they actually hear it.,3,1.47,2025-08-15T16:11:20.278429
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_5,Real love isn’t about perfect. It’s about the little weird things that make someone feel weirdly right. What’s your crush ick you secretly find cute?,,1,Love,,C,1_5_C,C. Awful at texting. Sends novels out of nowhere.,3,1.26,2025-08-11T16:11:20.278441
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_5,Real love isn’t about perfect. It’s about the little weird things that make someone feel weirdly right. What’s your crush ick you secretly find cute?,,1,Love,,D,1_5_D,D. That one hoodie? Always. Still cute.,3,0.91,2025-08-11T16:11:20.278441
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_5,Real love isn’t about perfect. It’s about the little weird things that make someone feel weirdly right. What’s your crush ick you secretly find cute?,,1,Love,,A,1_5_A,A. Laughs at their own jokes,3,0.69,2025-08-11T16:11:20.278441
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_5,Real love isn’t about perfect. It’s about the little weird things that make someone feel weirdly right. What’s your crush ick you secretly find cute?,,1,Love,,OTHER,1_5_OTHER,Else,3,1.35,2025-08-11T16:11:20.278441
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_5,Real love isn’t about perfect. It’s about the little weird things that make someone feel weirdly right. What’s your crush ick you secretly find cute?,,1,Love,,B,1_5_B,B. Gets weird saying hi. Still tries.,3,1.03,2025-08-11T16:11:20.278441
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper? You’re not asking for too much. You’re just done playing chill when you need real.,,1,Love,,D,1_11_D,D. Go quiet the second things get real.,3,1.37,2025-08-23T16:11:20.278465
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_25,What makes you feel uneasy in a relationship—even if it’s not “toxic”? Needing peace doesn’t mean you don’t care. It means you know how you stay whole.,,1,Love,,D,1_25_D,D. Keep testing me like I have to prove it.,3,0.97,2025-08-02T16:11:20.278476
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_25,What makes you feel uneasy in a relationship—even if it’s not “toxic”? Needing peace doesn’t mean you don’t care. It means you know how you stay whole.,,1,Love,,OTHER,1_25_OTHER,Other,3,1.25,2025-08-02T16:11:20.278476
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_26,What’s one “How do people even get married?” moment you’ve seen or lived?,,1,Love,,C,1_26_C,"C. One is “let’s talk now.” The other is “can it wait until I’m not overwhelmed by the loss of my football team, air, and everything?”",3,0.95,2025-08-14T16:11:20.278490
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_16,"Ghosting doesn’t mean you’re unworthy—it means they didn’t know how to show up. You don’t have to carry their silence like it’s your fault.  If someone ghosted you, what would you tell yourself?",,1,Love,,OTHER,1_16_OTHER,Other,4,0.57,2025-08-29T16:11:20.278501
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_16,"Ghosting doesn’t mean you’re unworthy—it means they didn’t know how to show up. You don’t have to carry their silence like it’s your fault.  If someone ghosted you, what would you tell yourself?",,1,Love,,B,1_16_B,B. It’s probably my fault. I must’ve said something weird.,4,0.81,2025-08-29T16:11:20.278501
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_17,Sometimes it’s not the breakup—it’s the after. The silence. The space. The stories you’ll never get to ask. You’re allowed to miss what mattered. [playlist:Breakup]  What hurts most after a breakup?,,1,Love,,B,1_17_B,B. One day we were everything. Now we’re strangers.,4,1.14,2025-08-22T16:11:20.278516
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_17,Sometimes it’s not the breakup—it’s the after. The silence. The space. The stories you’ll never get to ask. You’re allowed to miss what mattered. [playlist:Breakup]  What hurts most after a breakup?,,1,Love,,A,1_17_A,A. Not knowing if they ever meant it at all.,4,0.72,2025-08-22T16:11:20.278516
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_17,Sometimes it’s not the breakup—it’s the after. The silence. The space. The stories you’ll never get to ask. You’re allowed to miss what mattered. [playlist:Breakup]  What hurts most after a breakup?,,1,Love,,C,1_17_C,C. Watching them move on while I’m stuck. Feels like I was the only one hit.,4,0.96,2025-08-22T16:11:20.278516
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_21,Sometimes love ends before the truth arrives. That doesn’t mean you failed—it means you grew. Even the wrong story can teach you what kind of love is right.  Have you ever realized later that the relationship wasn’t right for you?,,1,Love,,A,1_21_A,"A. Yes. I just wanted love so badly, I missed the signs.",4,0.6,2025-08-27T16:11:20.278538
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_21,Sometimes love ends before the truth arrives. That doesn’t mean you failed—it means you grew. Even the wrong story can teach you what kind of love is right.  Have you ever realized later that the relationship wasn’t right for you?,,1,Love,,B,1_21_B,"B. Yes. Looking back, I’m actually thankful it ended.",4,0.58,2025-08-27T16:11:20.278538
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_21,Sometimes love ends before the truth arrives. That doesn’t mean you failed—it means you grew. Even the wrong story can teach you what kind of love is right.  Have you ever realized later that the relationship wasn’t right for you?,,1,Love,,C,1_21_C,"C. It wasn’t right, but I still wonder—was it me?",4,0.81,2025-08-27T16:11:20.278538
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments. You don’t need to do it perfectly. Just honestly.  What made your old love finally feel… less loud?",,1,Love,,C,1_13_C,"C. Talking to friends, family members, and/or therapists",5,0.52,2025-08-11T16:11:20.278557
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments. You don’t need to do it perfectly. Just honestly.  What made your old love finally feel… less loud?",,1,Love,,OTHER,1_13_OTHER,Other,5,0.61,2025-08-11T16:11:20.278557
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments. You don’t need to do it perfectly. Just honestly.  What made your old love finally feel… less loud?",,1,Love,,A,1_13_A,A. Time,5,0.69,2025-08-11T16:11:20.278557
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments. You don’t need to do it perfectly. Just honestly.  What made your old love finally feel… less loud?",,1,Love,,D,1_13_D,D. Someone new,5,0.75,2025-08-11T16:11:20.278557
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments. You don’t need to do it perfectly. Just honestly.  What made your old love finally feel… less loud?",,1,Love,,E,1_13_E,"E.  A new chapter in life outside romance.  I poured energy back into myself—my goals, my joy, my life.",5,0.55,2025-08-11T16:11:20.278557
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments. You don’t need to do it perfectly. Just honestly.  What made your old love finally feel… less loud?",,1,Love,,B,1_13_B,"B. Journal, meditation, self-reflection and fully process my emotions, forgiveness, and gratitude",5,0.99,2025-08-11T16:11:20.278557
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_18,How do you act around someone who broke your heart?,,1,Love,,C,1_18_C,"C. I go full chill. Jokes, good hair day, unbothered. Let them wonder.",5,0.94,2025-08-07T16:11:20.278616
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_18,How do you act around someone who broke your heart?,,1,Love,,A,1_18_A,A. Ghost mode. I’ll pretend I don’t see them and pray they do the same.,5,0.7,2025-08-07T16:11:20.278616
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_19,Some things never got said. That doesn’t mean they weren’t true. You still get to speak your version—even if they never hear it. What do you wish you could say to the person who broke your heart?,,1,Love,,D,1_19_D,D. You still cross my mind more than I admit.,5,0.58,2025-08-23T16:11:20.278633
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_19,Some things never got said. That doesn’t mean they weren’t true. You still get to speak your version—even if they never hear it. What do you wish you could say to the person who broke your heart?,,1,Love,,B,1_19_B,B. I learned a lot—even if it hurt. Thank you.,5,1.25,2025-08-23T16:11:20.278633
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_20,Breakups don’t always end at goodbye. Sometimes the hardest part is what comes after—the part you watch from afar. However you react—it’s okay. You’re still healing. What do you do when your ex starts dating someone new?,,1,Love,,A,1_20_A,A. Cry in private and pretend I didn’t see the post.,5,0.9,2025-08-10T16:11:20.278646
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_20,Breakups don’t always end at goodbye. Sometimes the hardest part is what comes after—the part you watch from afar. However you react—it’s okay. You’re still healing. What do you do when your ex starts dating someone new?,,1,Love,,OTHER,1_20_OTHER,Other,5,0.76,2025-08-10T16:11:20.278646
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,1_20,Breakups don’t always end at goodbye. Sometimes the hardest part is what comes after—the part you watch from afar. However you react—it’s okay. You’re still healing. What do you do when your ex starts dating someone new?,,1,Love,,C,1_20_C,"C. Send the post to my group chat with a snarky caption—then mute, block, or glow-up.",5,0.88,2025-08-10T16:11:20.278646
