user_uuid,year_of_birth,created_at
1077ab3c-d427-40d4-a8d6-cb2341ee7d8d,2012,2025-08-01T16:10:50.376495
9acd7b8b-effd-4b76-9fbe-1a997f2595f6,2012,2025-08-18T16:10:50.376537
cb7559b4-080c-4cc0-a5ee-582c5877c5c1,2011,2025-08-12T16:10:50.376542
1ee57335-4353-40c1-8a5a-1baa2b212285,2012,2025-08-06T16:10:50.376549
cb628f40-6b33-4309-8007-adf1ab7693f7,2011,2025-08-18T16:10:50.376556
2e4312d3-458e-4392-b92c-937fd0bab682,2010,2025-08-27T16:10:50.376561
c96c9f7c-3a4c-4f02-8234-c3cc0a036e90,2007,2025-08-17T16:10:50.376564
8f6b2a02-bf1e-4f2c-a8eb-0e92551bc886,2007,2025-08-21T16:10:50.376568
bcc6f99a-f6aa-47cb-824b-d4275a12685a,2012,2025-08-10T16:10:50.376573
360879d4-a375-4e7f-b051-ab311adf2300,2008,2025-08-02T16:10:50.376577
cb5a8abc-20c4-4447-955b-b5a8508e1b78,2009,2025-08-12T16:10:50.376580
069bc055-48a9-4036-9f6a-bf683ca8464c,2010,2025-08-23T16:10:50.376583
5675513c-ce4a-4c78-a7a8-b57afb95bb0c,2012,2025-08-12T16:10:50.376587
b376e7af-559d-4072-b45f-390023972797,2011,2025-08-17T16:10:50.376590
7445ad38-9c7b-4934-b82f-2ef112b56903,2010,2025-08-23T16:10:50.376593
dc16fc48-0795-4d96-b8b6-48cb86d34200,2012,2025-08-22T16:10:50.376596
f9c6c458-ad72-44f4-84ee-dfab19ff5506,2011,2025-08-24T16:10:50.376599
842de453-535a-4880-9e44-b8f27856a91e,2009,2025-07-31T16:10:50.376602
a9928e2e-2d55-4b63-b0d7-150f5e889064,2010,2025-08-18T16:10:50.376605
5bffedde-6b88-4702-b564-29d3376466c5,2009,2025-08-24T16:10:50.376609
