id,category_id,category_name,block_number,block_text,question_code,question_number,question_text,check_box,max_select,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version
1,1,1st Thing 1st,1,"A thank-you is the best first move:
Someone to Thank
🎵[playlist:1st Thing 1st]",1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,FALSE,1,A,1_1_A,A. A parent (maybe even one who nags),"A. “Thank you for caring. I know you love me. If you could just listen without giving advice, I would be even more thankful. But I thank you anyway.”",That’s a brave thing to say. You’re honoring their love and asking for what you need. That’s real communication.,,,1
2,1,1st Thing 1st,1,Someone to Thank,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,FALSE,1,B,1_1_B,B. A friend you may take for granted,"B. “Thank you for being my friend. I like you for the way you...”
(finish the sentence in your own words)",Noticing the why behind a friendship makes it stronger. That one sentence might stay with them for a long time.,,,1
3,1,1st Thing 1st,1,Someone to Thank,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,FALSE,1,C,1_1_C,C. A strict teacher who pushed you hard to achieve something,C. “Thank you for teaching me    . I enjoy learning from you.”,Teachers don’t hear this enough. It might mean more than you realize.,,,1
4,1,1st Thing 1st,1,Someone to Thank,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,FALSE,1,D,1_1_D,"D. Thank you, me.
For finding a purpose today—or just surviving it.
","D. ""I see what it took. I really do.”","This kind of thank-you is rare.
You didn’t wait for someone else to notice—you noticed yourself.
That’s strength.",,,1
5,1,1st Thing 1st,1,Someone to Thank,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,FALSE,1,OTHER,1_1_OTHER,Othe: Someone else (write your own),"Other: You found your own words—and that’s the most powerful kind of thank-you. Whether you send it or not, it’s already doing something inside you.",,,,1
6,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,A,1_2_A,"A. They smiled or softened, even just a little","A. That moment—the softening, the smile—can stay with both of you. Even if it was small, it mattered.",,,,1
7,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,B,1_2_B,B. They were surprised and didn’t know what to say,B. Sometimes gratitude catches people off guard. But don’t underestimate how deeply it might still land later.,,,,1
8,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,C,1_2_C,C. They brushed it off or didn’t really respond,C. Not everyone knows how to receive kindness. That’s not a reflection on you.,,,,1
9,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,D,1_2_D,D. I haven’t said it yet—but I will,D. Saying it takes courage. Planning to say it is already a step.,,,,1
10,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,E,1_2_E,E. I don’t think I ever will—but I’m still glad I wrote it,E. You wrote it for closure. That’s enough. Sometimes gratitude is more about freeing yourself than changing them.,,,,1
11,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,F,1_2_F,F. I said it to myself—and I needed it,F. You turned toward yourself with care. That’s not just healing—it’s strength most people never learn.,,,,1
12,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,OTHER,1_2_OTHER,Other,,,,,1
13,1,1st Thing 1st,2,"Ask 1 Question in Class: That Can Change the Way You See School
🎵[playlist:1st Thing 1st]",1_3,3,"Curiosity is the fuel for ideas. Pick one spark and let your imagination run with it.

What is the one question you could ask in class today? ",FALSE,1,A,1_3_A,A. “What’s one thing in today’s lesson that made me wonder ‘why’ or ‘how’?”,"A. e.g., 
– Who first came up with the idea of zero, and how did they explain it?","– Ask “why” when something doesn’t add up.
– Ask “how” when you want to see the steps behind an idea.
– Don’t stop at the surface — even simple “why” questions can lead to big discoveries.
– Wondering aloud shows strength, not weakness.",,,1
14,1,1st Thing 1st,2,Ask 1 Question in Class: That Can Change the Way You See School,1_3,3,What is the one question you could ask in class today? ,FALSE,1,B,1_3_B,"B. “If I could change one part of this subject, what would I explore differently?”","B. e.g.,
– What if a different person had been president — would history look different?
– What if this idea had turned out differently in history or science? Imagine if electricity wasn’t the big discovery — what else might people have found to power the world?
– What if Galileo hadn’t discovered the Earth is round? Who would have been next? Would that person be me? How would I do it?","– Try flipping the rules in your head 
– Imagine how another subject might explain it differently.
Creativity starts when you let yourself explore alternatives, not just answers.",,,1
15,1,1st Thing 1st,2,Ask 1 Question in Class: That Can Change the Way You See School,1_3,3,What is the one question you could ask in class today? ,FALSE,1,C,1_3_C,C. “What’s the one question I’d ask the teacher if grades didn’t matter?”,"C. e.g.,
– How does this connect to other subjects?
– If we gave the subjects a voice, what would they say?
– If the people in this lesson were in the room, what questions would you ask them?","– You’re freeing your mind from grades. Curiosity is strongest when there’s no scoreboard.
– You’re learning for yourself. That’s when knowledge turns into insight.
– You’re practicing courage. Asking bold questions shows leadership.
– You’re opening doors. The best discoveries start with the question no one else asked",,,1
16,1,1st Thing 1st,2,Ask 1 Question in Class: That Can Change the Way You See School,1_3,3,What is the one question you could ask in class today? ,FALSE,1,OTHER,1_3_OTHER,Other,,,,,1
17,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_4,4," When you let your mind wander, which future sparks your curiosity?

If you could solve any problem in the world, which one would you choose?",FALSE,1,A,1_4_A,A. A problem at school or in my community.,A. → Purpose starts close to home.,,,,1
18,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,B,1_4_B,"B. A problem in science, health, or the environment.",B. → Curiosity grows when you look at big challenges.,,,,1
19,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,C,1_4_C,C. A problem people don’t even notice yet.,C. → That’s where innovation is born.,,,,1
20,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,D,1_4_D,D. I’m still figuring it out — but I want to make a difference.,D. → Even the dream of solving is a spark.,,,,1
21,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_4,4,"If you could solve any problem in the world, which one would you choose?",FALSE,1,OTHER,1_4_OTHER,Other,,,,,1
22,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,A,1_5_A,A. Make life easier for people.,,,,,1
23,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,B,1_5_B,B. Protect nature.,,,,,1
24,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,C,1_5_C,C. Help people feel better — mentally or physically.,"C. → Caring for others creates a ripple effect you might not see right away, but it lasts. You could write a book, make a movie, compose a song — whatever speaks to you.",,,,1
25,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,D,1_5_D,D. Combine things no one has ever put together.,D. → Innovation comes from unexpected combos. Go through your passions — sometimes the best idea is putting two totally different things together.,,,,1
26,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,OTHER,1_5_OTHER,Other,,,,,1
27,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,A,1_6_A,A. Share it with a friend or mentor.,,,,,1
28,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,B,1_6_B,B. Make a checklist. Dates turn wishes into steps.,"B. → Every dream grows through small, steady steps.",,,,1
