id,category_id,category_name,block_number,block_text,question_code,question_number,question_text,check_box,max_select,color_code,version,is_start_question,parent_question_id
1,1,1st Thing 1st,1,"A thank-you is the best first move:
Someone to Thank
🎵[playlist:1st Thing 1st]",1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,FALSE,1,#D6C7E7,1,,
2,1,1st Thing 1st,1,Someone to Thank,1_2,2,What happened when you said it?,FALSE,1,#98FB98,1,,
3,1,1st Thing 1st,2,"Ask 1 Question in Class: That Can Change the Way You See School
🎵[playlist:1st Thing 1st]",1_3,3,"Curiosity is the fuel for ideas. Pick one spark and let your imagination run with it.

What is the one question you could ask in class today? ",FALSE,1,#FFAD84,1,,
4,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_4,4," When you let your mind wander, which future sparks your curiosity?

If you could solve any problem in the world, which one would you choose?",FALSE,1,#ADD8E6,1,,
5,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_5,5,"If you could create your dream job or start a business, what would it do?",FALSE,1,#D6C7E7,1,,
6,1,1st Thing 1st,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",FALSE,1,#F08080,1,,
7,1,1st Thing 1st,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,1_7,7,What was your favorite subject in school when you were my age?,FALSE,1,#ADD8E6,1,,
8,1,1st Thing 1st,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,1_8,8,What’s one decision you made in your career that made you proud?,FALSE,1,#FFE066,1,,
9,1,1st Thing 1st,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,1_9,9,"If you could go back and study something different, what would it be?",FALSE,1,#FFE066,1,,
10,2,Love,1,Imagining Love,2_1,1,"“Status: undefined, but not unloved.”
Not all love lives are loud.
Some are still forming, healing, daydreaming, or blooming when no one’s watching.
What’s yours trying to say right now?

If your love life had a status update, what would it say?",FALSE,1,#D6C7E7,1,,
11,2,Love,1,Imagining Love,2_2,2,What do you imagine when you think about your first love?,TRUE,10,#98FB98,1,,
12,2,Love,1,Imagining Love,2_3,3,What kind of love do you believe in?,FALSE,1,#FFAD84,1,,
13,2,Love,1,Imagining Love,2_4,4,"Real safety isn’t just about avoiding harm—it’s about feeling free to be yourself.
You deserve people who don’t just like you—but protect your peace.
What makes you feel safe with someone?",TRUE,10,#ADD8E6,1,,
14,2,Love,1,Imagining Love,2_5,5,What do you wish someone you like understood about you?,TRUE,10,#D6C7E7,1,,
15,2,Love,1,Imagining Love,2_6,6,Which line from a rom-com would you want someone to say to you?,TRUE,10,#F08080,1,,
16,2,Love,1,Imagining Love,2_7,7,"Real love isn’t about perfect.
It’s about the little weird things that make someone feel weirdly right.
What’s your crush ick you secretly find cute?",TRUE,10,#ADD8E6,1,,
17,2,Love,2,"Do They Like Me?
Small Moves, Big Feels
🎵[playlist:Love]",2_8,8,"Which meet-cute(s) would you totally fall for?
(Pick all that make your heart do the thing 💘)",TRUE,10,#FFE066,1,,
18,2,Love,2,"Do They Like Me?
Small Moves, Big Feels
🎵[playlist:Love]",2_9,9,How do you act when your crush is nearby?,TRUE,10,#D6C7E7,1,,
19,2,Love,2,"Do They Like Me?
Small Moves, Big Feels
🎵[playlist:Love]",2_10,10,How do you show someone you like them? [playlist:Love],TRUE,10,#F08080,1,,
20,2,Love,3,Kind of a Couple,2_11,11,"What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?
You’re not asking for too much. You’re just done playing chill when you need real.",TRUE,10,#D6C7E7,1,,
21,2,Love,3,Kind of a Couple,2_12,12,"What makes you feel uneasy in a relationship—even if it’s not “toxic”?
Needing peace doesn’t mean you don’t care. It means you know how you stay whole.",TRUE,10,#ADD8E6,1,,
22,2,Love,3,Kind of a Couple,2_13,13,What’s one “How do people even get married?” moment you’ve seen or lived?,TRUE,10,#98FB98,1,,
23,2,Love,4,"Almost, Not Quite",2_14,14,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters.
When your crush likes someone else",TRUE,10,#B0C4DE,1,,
24,2,Love,4,"Almost, Not Quite",2_15,15,"If someone likes you but you don’t feel the same, what do you do?",TRUE,10,#F08080,1,,
25,2,Love,4,"Almost, Not Quite",2_16,16,"If someone told you 'I love you' way too early, what would you do?",TRUE,10,#ADD8E6,1,,
26,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_17,17,"Ghosting doesn’t mean you’re unworthy—it means they didn’t know how to show up.
You don’t have to carry their silence like it’s your fault.

If someone ghosted you, what would you tell yourself?",TRUE,10,#ADD8E6,1,,
27,2,Love,5," Ghost and Goodbye
The Sky That Stayed
🎵[playlist:Breakup]",2_18,18,"Sometimes it’s not the breakup—it’s the after.
The silence. The space. The stories you’ll never get to ask.
You’re allowed to miss what mattered.
[playlist:Breakup]

What hurts most after a breakup?",TRUE,10,#ADD8E6,1,,
