user_uuid,question_code,question_text,question_number,category_id,category_name,option_id,option_select,option_code,option_text,block_number,created_at
13192756-994c-4f16-bc7b-67a4210c4d5a,1_1,"“Status: undefined, but not unloved.” Not all love lives are loud. Some are still forming, healing, daydreaming, or blooming when no one’s watching. What’s yours trying to say right now?  If your love life had a status update, what would it say?",,1,Love,,D,1_1_D,D. Patch notes dropping soon. Heart.exe rebooting.,1,2025-08-23T18:18:50.560591
13192756-994c-4f16-bc7b-67a4210c4d5a,1_2,What kind of love do you believe in?,,1,Love,,OTHER,1_2_OTHER,Other,2,2025-08-12T18:18:50.560607
13192756-994c-4f16-bc7b-67a4210c4d5a,1_22,"Some love stories end with closure. Others end with… screenshots. Either way, if you can laugh now, it means you’ve made it somewhere new.  What’s a moment from a past relationship you laugh about now?",,1,Love,,OTHER,1_22_OTHER,Something else that makes you laugh now:,4,2025-08-19T18:18:50.560613
13192756-994c-4f16-bc7b-67a4210c4d5a,1_24,"Your love life isn’t broken. It’s just in beta. Honest status updates are the start of real growth—and great stories. 💘 If your love life had a status update, what would it say?",,1,Love,,A,1_24_A,A. Ghosted but glowing.,5,2025-08-20T18:18:50.560617
13192756-994c-4f16-bc7b-67a4210c4d5a,2_1,"What was your friend vibe this summer? Friendship status: IRL, URL, or MIA?",,2,Friends,,B,2_1_B,B. Group chat didn’t die. So that’s... something.,1,2025-08-04T18:18:50.560621
13192756-994c-4f16-bc7b-67a4210c4d5a,2_8,What do you do when a friend hurts your feelings?,,2,Friends,,D,2_8_D,"D. Cut them off.  If they hurt me, they don’t get access anymore.",1,2025-08-05T18:18:50.560626
13192756-994c-4f16-bc7b-67a4210c4d5a,2_17,What do you wish your friends understood about you?,,2,Friends,,OTHER,2_17_OTHER,Or this:,1,2025-08-27T18:18:50.560629
13192756-994c-4f16-bc7b-67a4210c4d5a,2_18,When a friend chose someone else over you,,2,Friends,,D,2_18_D,D. Went solo. Still iconic.,1,2025-08-11T18:18:50.560636
13192756-994c-4f16-bc7b-67a4210c4d5a,2_19,Sometimes fitting in costs more than it’s worth.  Have you ever gone along with something that didn’t feel right to you—just to fit in?,,2,Friends,,OTHER,2_19_OTHER,☐ Something else I did or felt:,4,2025-08-04T18:18:50.560642
13192756-994c-4f16-bc7b-67a4210c4d5a,2_20,What do you do when you don’t want to go along with what your friends are doing?,,2,Friends,,OTHER,2_20_OTHER,☐ Or maybe I do something else entirely:,4,2025-08-26T18:18:50.560647
13192756-994c-4f16-bc7b-67a4210c4d5a,2_21,What do you do when you feel like you’re always the second choice?,,2,Friends,,OTHER,2_21_OTHER,☐ Or maybe I do something else:,4,2025-08-30T18:18:50.560651
13192756-994c-4f16-bc7b-67a4210c4d5a,2_22,"What do you do when a friend is pulling away, but you’re not sure why?",,2,Friends,,OTHER,2_22_OTHER,☐ Or something else I do:,4,2025-08-22T18:18:50.560654
