user_uuid,year_of_birth,created_at
13192756-994c-4f16-bc7b-67a4210c4d5a,2009,2025-08-07T18:18:05.741622
1df23eff-ee50-467f-a8df-5e1dabc11a30,2010,2025-08-22T18:18:05.741640
1311a6c9-9853-4565-872e-eaa39be4144d,2008,2025-08-19T18:18:05.741645
bfd9d2f2-e4d4-42d4-b5d1-d5ca0faa279c,2008,2025-08-01T18:18:05.741652
851f2107-8297-461a-aa1a-9094807906fe,2007,2025-08-05T18:18:05.741659
d83dd02e-4c52-478e-a5ce-0f9a91e19427,2009,2025-08-26T18:18:05.741663
6f321b53-0e28-4c73-8cd9-d57e3309e483,2007,2025-08-26T18:18:05.741667
e436cde8-c9b2-4f35-8914-51b08491b766,2007,2025-08-29T18:18:05.741671
d1c4d028-b1b1-4df9-8551-1fff576cae22,2009,2025-08-08T18:18:05.741676
fb0faf2e-84fc-4c06-9df3-473d0754e861,2007,2025-08-20T18:18:05.741680
22697f5e-2159-4999-b882-60c5e4955d34,2010,2025-08-27T18:18:05.741683
31f660a1-a838-4363-a77c-227d7dd98d50,2008,2025-08-15T18:18:05.741686
b59a5741-6b57-4943-8396-c620abdf9b42,2009,2025-08-05T18:18:05.741689
c67b3f4c-ec49-4fcd-bedb-17ad8e119b47,2010,2025-08-09T18:18:05.741692
293031c6-eddd-45c1-8611-509a207b812b,2010,2025-08-18T18:18:05.741695
d3d983ea-4ac7-4ada-aba2-435d44ad515b,2007,2025-08-11T18:18:05.741698
f6079a2e-4f83-438e-bfc0-daa699ef948f,2008,2025-08-27T18:18:05.741701
31212de3-d2d1-496e-b96e-448715572d43,2007,2025-08-07T18:18:05.741704
4490a15f-f717-4dbf-abb8-5b53c672038f,2011,2025-08-28T18:18:05.741707
4186edea-22bb-43ea-918c-d3d2f427f1f1,2010,2025-08-20T18:18:05.741710
