song_id,song_title,mood_tag,playlist_tag,lyrics_snippet,featured,featured_order,file_url
SAQ,Spark a Question ,inspiring,1st Thing 1st,"Step in the class, don’t just sit in the row,  
Ask one thing that’ll make your mind grow.  
“Why this? How that?” — let the sparks fly,  
Even small questions can open up the sky.  ",TRUE,1,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Spark+a+Question.mp3
SAG_F,Spark a Question (Female),inspiring,1st Thing 1st,"One spark, one spark — light it every day,  
Ask one question, find a brand-new way.  ",TRUE,2,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Spark+a+Question+(Edit).mp3
MG_M,Morning Gratitude (Male),inspiring,"1st Thing 1st, Lowkey, Family","So I say thanks, for the love I know, 
In the little ways that help me grow. 
Parents, friends, and teachers too, 
And myself — for pulling through.",TRUE,3,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Morning+Gratitude+(Edit)+(Edit).mp3
FYL_M,Five Years Later … (Male),inspiring,"5 Years Later, Believe, Hurt, Spiral, Lowkey","Five years later, I’m standing tall
Five years later, I’ve done it all
What broke me then can’t break me now
Five years later… I smile somehow",TRUE,4,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Five+Years+Later%E2%80%A6+(Male).mp3
FYL_F,Five Years Later … (Female),inspiring,"5 Years Later, Believe, Hurt, Spiral","Five years later, I’m standing tall
Five years later, I’ve done it all
The words that once tried to pull me apart
Can’t touch the fire I hold in my heart",TRUE,5,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Five+Years+Later%E2%80%A6.mp3
STR_01,Spark Still Rise (Male Rap),"bitter, beieving","Spiral, Believe",You ain’t gotta fake the fire. Even sparks can light the sky.,TRUE,6,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/sparks-still-rise.mp3
STR_02,Spark Still Rise (Female Rap),"bitter, beieving","Spiral, Believe",You ain’t gotta fake the fire. Even sparks can light the sky.,TRUE,7,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/sparks-still-rise+Girl.mp3
DP_01,Daring Path (Female V1),believing,Believe,I don’t need small mirrors to shine. I don’t need blind eyes to define.,TRUE,8,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/daring+path.mp3
DP_02,Daring Path (Female V2),believing,Believe,I don’t need small mirrors to shine. I don’t need blind eyes to define.,TRUE,9,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/daring+path+2.mp3
TUT,The Uncommon Tread,inspiring,Believe," I won’t trade my stars for stone  Or lose my voice to feel less alone . What’s rare is still a song unsaid, I’m proud to wear the uncommon thread.",TRUE,10,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/The+Uncommon+Thread.mp3
DBNF_01,Deleted But Not Forgoten (Female),"bitter, believing","Hurt, Believe","Delete the post, But Not Forgotten. I’m still here, still me, still real.",TRUE,11,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/deleted%2C-but-not-forgotten.mp3
LRDD_01,"Left on Read, Dragged in DMs (Female)","bitter, believing","Hurt, Believe","No reply, just side-eyes. But trust—I’m louder than your will.",TRUE,12,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Left+on+Read%2C+Dragged+in+DMs.mp3
PINI_01,"Photos I'm Not In (Male, Cinematic Rap)","bitter, believing","Hurt, Believe","Photos I’m not in, don’t dim my light.",TRUE,13,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Photos+I%E2%80%99m+Not+In.mp3
ISWIA_01,"I Said What I Am (Female, Hip-Hop) ","bitter, believing","Hurt, Believe",I know what I’m building. Even when they tear me down,TRUE,14,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/I+Said+What+I+Am+(Hip-Hop)+(Edit).mp3
IWOTM_01,I want one that's mine (Male),"soft, believing","Spiral, Believe",Is it peace or just pretend? I’m tired of borrowing moods,TRUE,15,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/i-want-one-that%E2%80%99s-mine..mp3
IWMG_01,I wasn't mean to go (Female),"soft, believing",Hurt,"I wasn’t left out—I feel right
Not every room deserves my light",TRUE,16,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/I+Wasn%E2%80%99t+Meant+to+Go.mp3
STS_M,Sky That Stayed (Male) ,"believing, inspiring","Hurt, Believe, Breakup","You were the storm that tore through fast. But I’m the sky that always lasts. Still wide, still blue, still brave, still bright. I carry calm, I hold my light.",TRUE,17,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Sky+That+Stayed+(Male).mp3
STS_F,Sky That Stayed (Female) ,"believing, inspiring","Hurt, Believe, Breakup","You were the storm that tore through fast. But I’m the sky that always lasts. Still wide, still blue, still brave, still bright. I carry calm, I hold my light.",TRUE,18,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Sky+That+Stayed+(Female).mp3
MVMW_01,My Voice at My World My Say,"soft, believing","Spiral, Believe","Somewhere, someone’s feeling just like this",TRUE,19,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/my-voice.mp3
THM_1,Theme Song (Male Inspiring Rap),inspiring,Theme Song,"My World, My Say",TRUE,20,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Theme+(Male+Inspiring+Rap).mp3
THM_2,Theme Song (Girl HipHop),spicy,Theme Song,"My World, My Say",TRUE,21,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Some+Days+Still+Count+(emo).mp3
THM_3,Theme Song (Girl Rap),rap,Theme Song,"My World, My Say",TRUE,22,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Theme+(+Girl+Inspiring+Rap).mp3
THM_4,Theme Song (Children Choir),inspiring,Theme Song,"My World, My Say",TRUE,23,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Theme+(Children+Choir).mp3
THM_5,Theme Song (Girl HipHop),inspiring,Theme Song,"My World, My Say",TRUE,24,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Theme+(Girl+HipHop+2).mp3
AI_RAP_DUET,We Name the Goal (Duet Rap),"believing, inspiring","Theme Song, AI and My Future",We shape the world by what we say.,TRUE,25,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/We+Name+the+Goal+(Two+Voice).mp3
AI_RAP,We Name the Goal (Rap),"believing, inspiring","Theme Song, AI and My Future",We shape the world by what we say.,TRUE,26,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/We+Name+the+Goal.mp3
AI_RA_HIPHOP,We Name the Goal (Hip Hop),"believing, inspiring","Theme Song, AI and My Future",We shape the world by what we say.,TRUE,27,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/We+Name+the+Goal+(Hip+Hop).mp3
AI_RA_REG,We Name the Goal (Reggaeton)),"believing, inspiring","Theme Song, AI and My Future",We shape the world by what we say.,TRUE,28,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/We+Name+the+Goal+(Female+Reggaeton).mp3
TMTSA_M,Tell Me That Story Again,"love, lowkey","Love, Lowkey","Just learning the map that leads to you. No need to impress, no need to bend—Just tell me that story again.",TRUE,29,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Tell+Me+That+Story+Again.mp3
CIMH,Cool in My Head,"Chaos, love","Love, Chaos","I planned the whole thing in my head. I’d say “hey” real chill, then nod instead.",TRUE,30,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Cool+in+My+Head.mp3
LYAN,Left You a Note (Male),"love, lowkey","Love, Lowkey","I left you a note, didn’t sign my name. But it’s tucked in your book, like a gentle flame. It says “You’re kind” and “I see you there”",TRUE,31,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/Left+You+a+Note.mp3
